defense,aspl_ism,aspl_fdr,glaze_ism,glaze_fdr,metacloak_ism,metacloak_fdr,mist_ism,mist_fdr,average
adavoc,0.0405,0.0518,0.0999,0.0541,0.0784,0.1279,0.1098,0.0271,0.0736875
ape,0.0386,0.1555,0.0460,0.0271,0.1253,0.1795,0.0216,0.2359,0.10035416666666667
bf,0.0162,0.0541,0.0880,0.0271,0.0394,0.1083,0.0367,0.0000,0.052239351851851856
bf_gn,0.0426,0.0000,0.0375,0.0304,0.0656,0.0271,0.0531,0.0255,0.03711548353909465
gn,0.0799,0.0271,0.0468,0.0000,0.0533,0.1624,0.0987,0.0000,0.056146164837677176
gn_bf,0.0300,0.0271,0.0499,0.0304,0.0069,0.1288,0.0723,0.0000,0.04461624053751968
diffpure,0.0667,0.0271,0.1166,0.0271,0.1372,0.0765,0.1165,0.0000,0.06803513783750219
pdmpure,0.0105,0.0000,0.0414,0.0271,0.0498,0.0000,0.0503,0.0271,0.030470570870833578
No,0.0258,0.0312,0.0490,0.0271,0.1336,0.3518,0.1343,0.3937,0.13077450787453707
