img,prompt,ism↑,fdr↑,brisque↓
kate,a_photo_of_sks_person,0.6419,0.8750,9.6980
kate_aspl,a_photo_of_sks_person,0.4830,0.2500,38.9312
kate_aspl_gn,a_photo_of_sks_person,0.5676,1.0000,31.1706
kate_aspl_bf,a_photo_of_sks_person,0.5408,0.1875,43.1748
kate_aspl_bf_gn,a_photo_of_sks_person,0.6522,0.7500,26.4158
kate_aspl_gn_bf,a_photo_of_sks_person,0.4983,0.2500,42.9116
kate_aspl_diffpure,a_photo_of_sks_person,0.1892,0.4375,50.9468
kate_aspl_ape,a_photo_of_sks_person,0.3775,0.1250,39.4820
kate_aspl_ada,a_photo_of_sks_person,0.3033,0.6250,14.4895
kate_glaze,a_photo_of_sks_person,0.5326,1.0000,4.0956
kate_glaze_gn,a_photo_of_sks_person,0.6466,1.0000,28.2792
kate_glaze_bf,a_photo_of_sks_person,0.5675,0.8750,39.2410
kate_glaze_gn_bf,a_photo_of_sks_person,0.6325,0.8750,41.9120
kate_glaze_bf_gn,a_photo_of_sks_person,0.6538,1.0000,26.0468
kate_glaze_ape,a_photo_of_sks_person,0.4344,0.7500,33.4121
kate_glaze_ada,a_photo_of_sks_person,0.2490,0.5000,31.0408
kate_glaze_diffpure,a_photo_of_sks_person,0.2727,0.7500,56.8949
kate_metacloak,a_photo_of_sks_person,0.5832,0.5000,40.6159
kate_metacloak_gn,a_photo_of_sks_person,0.5566,0.9375,19.0951
kate_metacloak_bf,a_photo_of_sks_person,0.5494,0.6250,41.2511
kate_metacloak_gn_bf,a_photo_of_sks_person,0.5556,0.5000,43.0304
kate_metacloak_bf_gn,a_photo_of_sks_person,0.5906,1.0000,29.7650
kate_metacloak_ape,a_photo_of_sks_person,0.4955,0.6875,36.1476
kate_metacloak_ada,a_photo_of_sks_person,0.2942,0.4375,26.2907
kate_metacloak_diffpure,a_photo_of_sks_person,0.2321,0.6875,49.6328
kate_mist,a_photo_of_sks_person,0.2938,0.9375,17.4446
kate_mist_gn,a_photo_of_sks_person,0.5018,0.9375,16.0819
kate_mist_bf,a_photo_of_sks_person,0.4455,0.8125,41.4257
kate_mist_gn_bf,a_photo_of_sks_person,0.4613,1.0000,42.1240
kate_mist_bf_gn,a_photo_of_sks_person,0.5367,1.0000,22.0068
kate_mist_ape,a_photo_of_sks_person,0.4367,0.5625,34.1233
kate_mist_ada,a_photo_of_sks_person,0.1805,0.5625,16.5873
kate_mist_diffpure,a_photo_of_sks_person,0.2111,0.8125,45.2980
